Nomenclatura  DCB (Original),Número DCB,Nomenclatura  DCI - INN,CAS Number,NCM,NVE
Enoxolona,3408,Enoxolone,471-53-4,2918.99.99,NVE
Enrofloxacino,3412,Enrofloxacin,93106-60-6,2933.59.15,NVE
Entacapona  ,3415,Entacapone,130929-57-6,2922.50.99,NVE
Entricitabina,3417,Emtricitabine,143491-57-0,2934.99.29,NVE
Epicilina,3433,Epicillin,26774-90-3,2941.10.90,NVE
Epiestriol,3436,Epiestriol,547-81-9,2937.23.99,NVE
Epinastina,3438,Epinastine,80012-43-7,2933.99.39,NVE
Epinefrina,3441,Epinephrine,51-43-4,2937.90.90,NVE
Epirizol,3446,Epirizole,18694-40-1,2933.59.49,NVE
Epirrubicina,3447,Epirubicin,56420-45-2,2941.90.49,NVE
Eptifibatida,3474,Eptifibatide,148031-34-9,2934.99.99,NVE
Equilenina,n.d.,Equilenin,517-09-9,2937.23.99,NVE
Erdosteína,3476,Erdosteine,84611-23-4,2934.99.99,NVE
Ergocalciferol,3477,Ergocalciferol,50-14-6,2936.29.29,NVE
Ergocristina,3479,Ergocristine,511-08-0,2939.69.51,NVE
Ergometrina  ,3480,Ergometrine,60-79-7,2939.61.00,NVE
Ergosterol,n.d.,Ergosterol,57-87-4,2936.90.00,NVE
Ergotamina  ,3485,Ergotamine,113-15-5,2939.62.00,NVE
